Generacion,Max_Score,Avg_Score
1,105,47.21
2,386,66.6
3,279,71.57
4,116,64.47
5,118,60.74
6,443,110.21
7,384,101.15
8,330,76.49
9,383,88.82
10,228,85.55
11,175,76.05
12,392,137.22
13,448,127.58
14,542,173.58
15,229,105.17
16,113,84.8
17,174,102.22
18,228,142.7
19,282,179.22
20,341,185.01
21,172,102.59
