Generacion,Max_Score,Avg_Score
1,169,50.39
2,445,97.52
3,282,106.09
4,819,164.13
5,684,246.3
6,1381,160.8
7,1932,430.89
8,1947,646.81
9,2325,1057.16
10,2401,1222.34
11,2540,1410.6
12,2810,1635.78
13,3049,1491.94
14,2599,951.54
15,2540,1389.88
16,3020,1699.21
17,3093,1827.66
18,3197,1788.39
19,2625,638.73
20,2558,1314.15
21,3254,1877.61
